sharpe_ratio,f1_up,auprc,brier_score,buy_threshold,sell_threshold,n_features,calibration_method,top_k,corr_threshold,calibration,selected_features
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,40,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.5606761581061237,0.020942408376963352,0.468283725616301,0.2299444268478623,0.44999999999999996,-0.3,11,sigmoid,40,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.6607363192565938,0.11650485436893204,0.49937245591558865,0.22343592515997346,0.35,0.04999999999999993,11,isotonic,40,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,40,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.5606761581061237,0.020942408376963352,0.468283725616301,0.2299444268478623,0.44999999999999996,-0.3,11,sigmoid,40,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.6607363192565938,0.11650485436893204,0.49937245591558865,0.22343592515997346,0.35,0.04999999999999993,11,isotonic,40,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,40,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.5606761581061237,0.020942408376963352,0.468283725616301,0.2299444268478623,0.44999999999999996,-0.3,11,sigmoid,50,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.6607363192565938,0.11650485436893204,0.49937245591558865,0.22343592515997346,0.35,0.04999999999999993,11,isotonic,50,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,50,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.5606761581061237,0.020942408376963352,0.468283725616301,0.2299444268478623,0.44999999999999996,-0.3,11,sigmoid,50,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.6607363192565938,0.11650485436893204,0.49937245591558865,0.22343592515997346,0.35,0.04999999999999993,11,isotonic,50,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,50,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.5606761581061237,0.020942408376963352,0.468283725616301,0.2299444268478623,0.44999999999999996,-0.3,11,sigmoid,50,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.6607363192565938,0.11650485436893204,0.49937245591558865,0.22343592515997346,0.35,0.04999999999999993,11,isotonic,50,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
1.9999122776932654,0.1308411214953271,0.4717676321812095,0.273206831243906,0.39999999999999997,0.04999999999999993,11,none,50,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'EMA_long', 'wavelet_cD', 'OBV', 'MACD', 'RSI']"
