sharpe_ratio,f1_up,auprc,brier_score,buy_threshold,sell_threshold,n_features,calibration_method,top_k,corr_threshold,calibration,selected_features
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,40,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,40,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.19621742517533095,0.0,0.37338230858516186,0.2139203646316432,0.39999999999999997,-0.3,11,sigmoid,40,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,40,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,40,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.19621742517533095,0.0,0.37338230858516186,0.2139203646316432,0.39999999999999997,-0.3,11,sigmoid,40,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,40,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,40,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.19621742517533095,0.0,0.37338230858516186,0.2139203646316432,0.39999999999999997,-0.3,11,sigmoid,50,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,50,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,50,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.19621742517533095,0.0,0.37338230858516186,0.2139203646316432,0.39999999999999997,-0.3,11,sigmoid,50,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,50,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,50,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.19621742517533095,0.0,0.37338230858516186,0.2139203646316432,0.39999999999999997,-0.3,11,sigmoid,50,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.8192961595021759,0.05813953488372093,0.3964642171022723,0.20751283467522716,0.39999999999999997,0.04999999999999993,11,isotonic,50,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
0.21472592580289562,0.4766146993318486,0.36678407150161085,0.33446773051747697,0.5499999999999999,0.04999999999999993,11,none,50,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'EMA_long', 'OBV', 'MACD', 'RSI']"
