Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,99900.09990009991,115549.1619613866,15.664711123347974,52.99%,57.53%,60.00%,0.59
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,52.99%,57.53%,60.00%,0.59
VALE3.SA,Modelo de Predição,99900.09990009991,74469.4758643848,-25.456054659750823,48.21%,37.23%,33.02%,0.35
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,48.21%,37.23%,33.02%,0.35
BBDC4.SA,Modelo de Predição,99900.09990009991,67319.06946497406,-32.61361146556098,48.21%,44.93%,53.45%,0.49
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,48.21%,44.93%,53.45%,0.49
ITUB4.SA,Modelo de Predição,99900.09990009991,89838.22371994256,-10.071938056337515,55.38%,50.94%,23.89%,0.33
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,55.38%,50.94%,23.89%,0.33
BBAS3.SA,Modelo de Predição,99900.09990009991,96618.70512977024,-3.28467616510002,51.39%,51.20%,100.00%,0.68
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,51.39%,51.20%,100.00%,0.68
B3SA3.SA,Modelo de Predição,99900.09990009991,74990.44398949217,-24.93456556651835,60.96%,0.00%,0.00%,0.00
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,60.96%,0.00%,0.00%,0.00
ABEV3.SA,Modelo de Predição,99900.09990009991,92797.51686715183,-7.109685615981032,68.92%,0.00%,0.00%,0.00
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,68.92%,0.00%,0.00%,0.00
VIVT3.SA,Modelo de Predição,99900.09990009991,94758.77688456094,-5.146464338554512,65.74%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,65.74%,0.00%,0.00%,0.00
